Laptop Name,Current Price,MRP Price,Rating,Dedicated Graphic Memory Type,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Graphic Processor,Processor Generation,Processor Variant,Clock Speed,Cache,Number of Cores,Expandable Memory,RAM Frequency,Expandable SSD Capacity,Chipset,Memory Slots,RPM,Dedicated Graphic Memory Capacity,HDD Capacity,EMMC Storage Capacity,Cloud Storage
"Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) A715-76G Gaming Laptop  (15.6 Inch, Charcoal Black, 2.1 Kg)","54,990","78,999",4.2,GDDR6,Intel,Core i5,Yes,512 GB,16 GB,DDR4,NVIDIA GeForce RTX 2050,12th Gen,12450H,3.3 GHz upto max turbo frequency at 4.4 Ghz,,,,,,,,,4 GB,,,
"HP AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","45,490","59,109",4.3,,AMD,Ryzen 5 Hexa Core,Yes,512 GB,16 GB,DDR4,AMD Radeon Radeon Graphics,,5500U,Up to 4.0 GHz max boost clock,8,6,,3200 MHz,,,2,,,,,
"ASUS Vivobook Go 15 (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Thin and Light Laptop  (15.6 Inch, Cool Silver, 1.63 Kg, With MS Office)","33,990","50,990",4.2,,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,LPDDR5,AMD Radeon AMD,,7320U,2.4 GHz upto max turbo frequency at 4.1 Ghz,,,NA,,1 TB,,,,,,,
"MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN Thin and Light Laptop  (14 Inch, Urban Silver, 1.4 Kg)","41,990","67,990",4.2,,Intel,Core i5,Yes,512 GB,16 GB,DDR4,Intel Integrated Iris Xe,12th Gen,1235U,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",,,,,,,,,,,,
"Infinix X3 Slim Intel Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) XL422 Thin and Light Laptop  (14 Inch, Grey, 1.24 Kg)","36,990","64,990",4.1,,Intel,Core i5,Yes,512 GB,16 GB,LPDDR4X,Intel Integrated Iris Xe,12th Gen,1235U,1.3 GHz with Turbo Boost Upto 4.4 GHz,,,,,,,,,,,,
"CHUWI Intel Celeron Dual Core 10th Gen N4020 - (4 GB/128 GB SSD/Windows 11 Home) HeroBook Air Laptop  (11.6 inch, Grey, 0.91 kg)","12,990","34,990",3.7,DDR4,Intel,Celeron Dual Core,Yes,128 GB,4 GB,LPDDR4,Intel Integrated Intel UHD Graphics,10th Gen,N4020,2.8GHz,4 MB,2,,,,,,,,,,
"ZEBRONICS Pro Series Y Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 2S Thin and Light Laptop  (15.6 inch, Silver, 1.65 kg)","29,990","51,999",3.9,DDR4,Intel,Core i5,Yes,512 GB,16 GB,LPDDR4X,Intel Integrated UHD,11th Gen,1155G7,2.50GHz with Turbo boost upto 4.5GHz,8 MB,4,NA,3200 MHz,,,NA,,,,,
"Lenovo V15 AMD Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Laptop  (15.6 Inch, Iron Grey, 1.7 Kg)","27,890","55,000",4.1,,AMD,Ryzen 3 Hexa Core,Yes,512 GB,8 GB,DDR4,AMD Radeon AMD,,5300U,2.6 GHz with Turbo Boost Upto 3.8 GHz,,,,,,,,,,,,
"CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop  (15.6 Inch, Grey, 1.74 kg)","19,990","39,990",3.7,DDR5,Intel,Celeron Dual Core,Yes,256 GB,8 GB,DDR4,Intel Integrated UHD,11th Gen,N4020,1.10 GHz Upto 2.80 GHz,,2,,,,,,,,,,
"ASUS TUF Gaming F15 Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) FX507ZC4-HN116W Gaming Laptop  (15.6 Inch, Mecha Gray, 2.20 Kg)","72,990","1,03,990",4.5,GDDR6,Intel,Core i5,Yes,512 GB,16 GB,DDR4,NVIDIA GeForce RTX 3050,12th Gen,12500H,2.5 GHz with Max Turbo Boost Frequency Up to 4.50 GHz,,,32,,2 TB,,,,4 GB,,,
"ASUS TUF Gaming F15 (2023) with 90WHr Battery Intel H-Series Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050/144 Hz/140 TGP) FX507VU-LP083WS Gaming Laptop  (15.6 Inch, Mecha Gray, 2.20 Kg, With MS Office)","1,09,990","1,55,990",4.5,GDDR6,Intel,Core i7,Yes,512 GB,16 GB,DDR4,NVIDIA GeForce RTX 4050,13th Gen,13700H,1.50 GHz up to 5.00 GHz,,,,,,,,,6 GB,,,
"DELL Inspiron Intel Core i5 12th Gen Core i5 - (8 GB/512 GB SSD/Windows 11 Home) 3520 Laptop  (15.6 inch, Platinum Silver, 1.25 kg, With MS Office)","48,990","67,384",4.2,,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Intel Integrated Intel UHD Graphics,12th Gen,Core i5,Up to 4.40 GHz Turbo,,,,2666 MHz,,1235U,,,,,,
"DELL Inspiron Intel Core i5 12th Gen Core i5 - (8 GB/512 GB SSD/Windows 11 Home) 3520 Laptop  (15.6 inch, Platinum Silver, 1.25 kg, With MS Office)","48,990","67,384",4.2,,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Intel Integrated Intel UHD Graphics,12th Gen,Core i5,Up to 4.40 GHz Turbo,,,,2666 MHz,,1235U,,,,,,
"Infinix X2 Slim Series Intel Core i5 11th Gen 1155G7 - (16 GB/1 TB SSD/Windows 11 Home) XL23 Thin and Light Laptop  (14 inch, Blue, 1.24 Kg)","36,990","69,990",4.2,,Intel,Core i5,Yes,1 TB,16 GB,LPDDR4X,Intel Integrated UHD,11th Gen,1155G7,2.5 GHz upto max turbo frequency at 4.5 Ghz,,,,,,,,,,,,
"SAMSUNG Galaxy Book3 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin and Light Laptop  (15.6 Inch, Silver, 1.58 Kg, With MS Office)","65,990","99,990",4.4,,Intel,Core i5,Yes,512 GB,16 GB,LPDDR4X,Intel Integrated Iris Xe,13th Gen,1335U,Max Turbo Frequency up to 4.6 GHz,,,,,,,,,,,,
"Infinix X3 Slim Intel Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) XL422 Thin and Light Laptop  (14 Inch, Blue, 1.24 Kg)","43,990","69,990",4.4,,Intel,Core i7,Yes,512 GB,16 GB,LPDDR4X,Intel Integrated Iris Xe,12th Gen,1255U,1.7 GHz with Turbo Boost Upto 4.7 GHz,,,,,,,,,,,,
"HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1092au Thin and Light Laptop  (14 inch, Natural Silver, 1.46 Kg, With MS Office)","42,980","55,691",4.3,,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,AMD Radeon AMD,,5500U,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,8,6,Yes,3200 MHz,,,,,,,,
"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz/50 TGP) M6500QF-HN741WS Gaming Laptop  (15.6 Inch, Quiet Blue, 1.80 Kg, With MS Office)","60,990","90,990",4.3,GDDR6,AMD,Ryzen 7 Octa Core,Yes,512 GB,16 GB,DDR4,NVIDIA GeForce RTX 2050,,5800HS,3.2GHz Upto 4.4GHz,20 MB,8,,,,NA,,,4 GB,,,
"Infinix Y1 Plus Neo (2023) Intel Celeron Quad Core 11th Gen N5100 - (4 GB/128 GB SSD/Windows 11 Home) XL30 Thin and Light Laptop  (15.6 Inch, Grey, 1.76 Kg)","18,990","29,990",4.1,,Intel,Celeron Quad Core,Yes,128 GB,4 GB,LPDDR4X,Intel Integrated UHD,11th Gen,N5100,Max Frequency up to 2.8 GHz,,,,,,,,,,,,
"HP 15s (2023) AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0030AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.75 Kg, With MS Office)","47,900","60,248",4.3,,AMD,Ryzen 5 Quad Core,Yes,512 GB,16 GB,LPDDR5,AMD Radeon AMD,,7520U,2.8GHz Upto 4.3GHz,4 MB,4,,,,,,,,,,
"DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3420 Thin and Light Laptop  (14 Inch, Carbon Black, 1.48 Kg, With MS Office)","35,990","61,855",4.5,,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated Iris Xe,12th Gen,1215U,0.9 GHz upto max turbo frequency at 4.4 Ghz,,6,,,,,,,,,,
"ASUS Vivobook Go 14 (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1404FA-NK322WS Thin and Light Laptop  (14 Inch, Mixed Black, 1.38 Kg, With MS Office)","34,390","50,990",4.5,,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,LPDDR5,AMD Radeon AMD,,7320U,2.4 GHz upto max turbo frequency at 4.1 Ghz,,,,,,,,,,,,
"HP Victus Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/50 TGP) 15-FA1145TX Gaming Laptop  (15.6 inch, Performance Blue, 2.37 Kg, With MS Office)","69,300","84,838",4.1,GDDR6,Intel,Core i5,Yes,1 TB,16 GB,DDR4,NVIDIA GeForce RTX 2050,12th Gen,12450H,Max turbo frequency at 4.4 Ghz,,,,,,,,,4 GB,,,
"Infinix X2 Slim Series Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) XL23 Thin and Light Laptop  (14 inch, Blue, 1.24 Kg)","32,990","59,990",NA,,Intel,Core i5,Yes,512 GB,8 GB,LPDDR4X,Intel Integrated UHD,11th Gen,1155G7,2.5 GHz upto max turbo frequency at 4.5 Ghz,,,,,,,,,,,,
"Infinix Inbook Y2 Plus Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) XL29 Thin and Light Laptop  (15.6 inch, Grey, 1.8 kg)","32,990","54,990",4.1,,Intel,Core i5,Yes,512 GB,16 GB,LPDDR4X,Intel Integrated UHD,11th Gen,1155G7,"Base Frequency 1.0 GHz, Max Turbo Boost at 4.5 GHz",8 MB,4,,4267 MHz,,,,,,,,
"Infinix INBook Y1 Plus Intel Intel Core i3 10th Gen 1005G1 - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light Laptop  (15.6 inch, Grey, 1.76 kg)","29,990","44,990",4.2,,Intel,Core i3,Yes,256 GB,8 GB,LPDDR4X,Intel Integrated UHD,10th Gen,1005G1,"Base Frequency 1.2 GHz, Max Turbo Frequency at 3.4 GHz",4MB,2,,,,Intel Core i3,,,,,,
"Lenovo LOQ Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4060) 15IRH8 Gaming Laptop  (15.6 Inch, Storm Grey, 2.4 kg, With MS Office)","1,04,990","1,53,890",4.2,GDDR6,Intel,Core i7,Yes,512 GB,16 GB,DDR5,NVIDIA GeForce RTX 4060,13th Gen,13620H,"Base Frequency 2.4 GHz, Max Turbo Boost at 4.9 GHz",24 MB,10,16 GB,,,Intel SoC Platform,2,5200,8 GB,,,
"Infinix Y4 Max Series Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and Light Laptop  (16 inch, Blue, 1.78 kg)","43,990","64,990",4.3,,Intel,Core i5,Yes,512 GB,16 GB,LPDDR4X,Intel Integrated Iris Xe,13th Gen,1335U,1.3GHz Upto 4.6GHz,12 MB,10,,6400 MHz,,Intel Core i5,,,,,,
"realme Book Prime Intel Core i5 11th Gen 11320H - (8 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Laptop  (14 Inch, Blue, 1.47 Kg)","47,999","69,999",4.2,,Intel,Core i5,Yes,512 GB,8 GB,LPDDR4X,Intel Integrated Iris Xe,11th Gen,11320H,2.50 GHz up to 4.50 GHz,,,,,,,,,,,,
"MSI Cyborg 15 Intel Core i5 12th Gen i5-12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz/45 W) Cyborg 15 A12UCX-264IN Gaming Laptop  (15.6 inch, Translucent Black, 1.98 kg)","59,990","89,990",NA,GDDR6,Intel,Core i5,Yes,512 GB,16 GB,DDR5,NVIDIA GeForce RTX 2050,12th Gen,i5-12450H,3.3GHz with Turbo Boost upto 4.40GHz,,8,Upto 64 GB,4800 MHz,,,2,,4 GB,,,
"ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-EJ0277 Chromebook  (15.6 Inch, Transparent Silver, 1.80 Kg)","16,990","32,990",3.8,,Intel,Celeron Dual Core,No,,4 GB,LPDDR4X,Intel Integrated UHD,,N4500,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz,,,,,,,,,,,128 GB,
"MSI Prestige 14 Intel EVO Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 10 Home) Prestige 14Evo A11M-624IN Thin and Light Laptop  (14 inch, Carbon Gray, 1.29 kg)","62,990","95,990",4.6,,Intel,Core i5,Yes,512 GB,16 GB,LPDDR4X,Intel Integrated Iris Xe,11th Gen,1135G7,4.2 GHz,,,,,,,,,,,,
"Acer Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Aspire Lite AL15-51 Thin and Light Laptop  (15.6 inch, Steel Gray)","32,990","45,000",4.3,,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated Intel,11th Gen,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 3 Intel Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 15IGL05 Thin and Light Laptop  (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)","25,890","43,000",4,,Intel,Celeron Dual Core,Yes,256 GB,8 GB,DDR4,Intel Integrated UHD,,N4020,Max Frequency Up to 2.8 GHz,4MB,,,,,,,,,,,
"Lenovo IdeaPad Slim 3 Intel Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 15IGL05 Thin and Light Laptop  (15.6 Inch, Grey, 1.7 Kg, With MS Office)","27,990","38,990",3.8,,Intel,Celeron Dual Core,Yes,256 GB,8 GB,DDR4,Intel Integrated UHD,,N4020,Max Frequency Up to 2.8 GHz,4MB,,,,,,,,,,,
"Lenovo IdeaPad Flex 5 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 14IRU8 2 in 1 Laptop  (14 Inch, Arctic Grey, 1.50 Kg, With MS Office)","59,190","86,290",4.5,,Intel,Core i3,Yes,512 GB,8 GB,LPDDR4X,Intel Integrated UHD,13th Gen,1315U,Max Turbo Frequency up to 4.5 GHz,,,,,,,,,,,,
"HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","42,290","52,721",4.2,,Intel,Core i3,Yes,512 GB,16 GB,DDR4,Intel Integrated UHD,12th Gen,1215U,0.9 GHz upto max turbo frequency at 4.4 Ghz,,,,,,,,,,,,
"HP 15s (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0026AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.75 Kg, With MS Office)","35,490","45,438",4.2,,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,LPDDR5,AMD Radeon AMD,,7320U,2.4GHz Upto 4.1GHz,4 MB,4,,,,,,,,,,
"ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ515WS Thin and Light Laptop  (15.6 Inch, Icelight Silver, 1.7 Kg, With MS Office)","46,990","70,990",4.1,,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Intel Integrated Iris Xe,12th Gen,1235U,1.3 GHz with Turbo Boost Upto 4.4 GHz,,,12,,1 TB,,,,,,,
"Lenovo V15 AMD Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Laptop  (15.6 Inch, Iron Grey, 1.7 Kg)","27,649","55,000",4.1,,AMD,Ryzen 3 Hexa Core,Yes,512 GB,8 GB,DDR4,AMD Radeon AMD,,5300U,2.6 GHz with Turbo Boost Upto 3.8 GHz,,,,,,,,,,,,
"HP 14a Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a- na1004TU Chromebook  (14 Inch, Mineral Silver, 1.46 kg)","18,990","30,001",3.7,,Intel,Celeron Dual Core,No,,4 GB,LPDDR4,Intel Integrated UHD,,N4500,"Base Frequency 1.1 GHz, Max Turbo Boost Frequency Up to 2.8 GHz",4 MB,2,,,,,,,,,64 GB,
"HP Victus Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) 15-fa1134TX Gaming Laptop  (15.6 Inch, Mica Silver, 2.37 kg, With MS Office)","97,990","1,13,925",NA,GDDR6,Intel,Core i7,Yes,512 GB,16 GB,DDR4,NVIDIA GeForce RTX 4050,12th Gen,12650H,Upto 4.7 GHz,24 MB,10,16 GB,3200 MHz,,,2,3200,6 GB,,,
"HP Intel Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","47,990","60,599",4.3,,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Intel Integrated Iris Xe,11th Gen,1155G7,2.5 GHz upto max turbo frequency at 4.5 Ghz,8 MB,4,,,,,,,,,,
"ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-EJ0277 Chromebook  (15.6 Inch, Transparent Silver, 1.80 Kg)","16,990","32,990",3.8,,Intel,Celeron Dual Core,No,,4 GB,LPDDR4X,Intel Integrated UHD,,N4500,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz,,,,,,,,,,,128 GB,
"ASUS VivoBook 15 (2022) Intel Celeron Quad Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) X515MA-BR011W Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg)","21,990","33,990",4.1,,Intel,Celeron Quad Core,Yes,256 GB,4 GB,DDR4,Intel Integrated UHD,,N4020,1.1 GHz upto max turbo frequency at 2.8 Ghz,4,2,,,,,,,,,,
"HP Pavilion Plus Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 14-ew0116TU Thin and Light Laptop  (14 Inch, Natural Silver, 1.44 Kg, With MS Office)","70,490","82,929",NA,,Intel,Core i5,Yes,512 GB,16 GB,LPDDR5X,Intel Integrated Iris Xe,13th Gen,1335U,Upto 4.6 GHz,12 MB,10,,6400 MHz,,,,,,,,
"Lenovo IdeaPad Gaming 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15IAH7 Gaming Laptop  (15.6 inch, Onyx Grey, 2.315 kg, With MS Office)","67,990","94,690",4.3,GDDR6,Intel,Core i5,Yes,512 GB,16 GB,DDR4,NVIDIA GeForce RTX 3050,12th Gen,12450H,"Base Frequency 2.0 GHz, Max Turbo Boost at 4.4 GHz",12 MB,8,16 GB,,,Intel SoC Platform,2,3200,4 GB,,,
"HP x360 Pavilion with pen Intel Core i7 11th Gen 1195G7 - (16 GB/512 GB SSD/Windows 11 Home) 14-dy1047TU Thin and Light Laptop  (14 inch, Natural Silver, 1.52 kg, With MS Office)","66,699","99,533",3.5,,Intel,Core i7,Yes,512 GB,16 GB,DDR4,Intel Integrated Iris Xe Graphics,11th Gen,1195G7,2.9 GHz upto max turbo frequency at 5 GHz,12,4,,,,,,,,,,
"Acer Nitro 5 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) AN515-58 Gaming Laptop  (15.6 inch, Obsidian Black, 2.5 kg)","67,990","90,999",4.3,GDDR6,Intel,Core i5,Yes,512 GB,16 GB,DDR4,NVIDIA GeForce RTX 3050,12th Gen,12450H,Max Turbo Frequency up to 4.40 GHz,8,12,,,,,,,4 GB,,,
"ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz/70 TGP) FX506HF-HN024W Gaming Laptop  (15.6 Inch, Graphite Black, 2.30 kg)","49,990","74,990",4.4,GDDR6,Intel,Core i5,Yes,512 GB,8 GB,DDR4,NVIDIA GeForce RTX 2050,11th Gen,11400H,2.70GHz Upto 4.50GHz,12 MB,6,32 GB,,,,,,4 GB,,,
"DELL Inspiron Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop  (15.6 Inch, Platinum Silver, 1.65 Kg, With MS Office)","47,999","69,797",4,,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Intel Integrated Integrated,12th Gen,1235U,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 5.0 GHz",12 MB,10,16 GB,2666 MHz,,,2,,,,,
"ASUS TUF Gaming F17 (2022) with 90Whr Battery Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) FX777ZC-HX069W Gaming Laptop  (17.3 Inch, Jaeger Grey, 2.60 Kg)","94,990","1,13,990",4.4,GDDR6,Intel,Core i5,Yes,512 GB,16 GB,DDR5,NVIDIA GeForce RTX 3050,12th Gen,12500H,4.5,18,12,32,4800 MHz,,,,,4 GB,,,
"ASUS Chromebook Plus (2023) Intel Core i3 12th Gen 1215U - (8 GB/128 GB EMMC Storage/Chrome OS) CX3402CBA-PQ0173 Chromebook  (14 Inch, Rock Grey, 1.44 Kg)","34,990","55,990",NA,,Intel,Core i3,No,,8 GB,LPDDR5,Intel Integrated UHD,12th Gen,1215U,0.9 GHz upto max turbo frequency at 4.4 Ghz,,,,,,,,,,,128 GB,
